	id                                	task        	estRows     	operator info                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               	actRows	execution info                                                                                         	memory 	disk
	TableReader_46                    	root        	1           	MppVersion: 1, data:ExchangeSender_45                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       	1      	time:15.8s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	1.82 KB	N/A
	└─ExchangeSender_45               	cop[tiflash]	1           	ExchangeType: PassThrough                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   	1      	tiflash_task:{time:15.8s, loops:1, threads:1}                                                          	N/A    	N/A
	  └─Projection_41                 	cop[tiflash]	1           	Column#35, Column#36, Column#37, Column#38, Column#39, Column#40, Column#41                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 	1      	tiflash_task:{time:15.8s, loops:1, threads:1}                                                          	N/A    	N/A
	    └─HashAgg_42                  	cop[tiflash]	1           	funcs:count(distinct gharchive_dev.github_events.actor_id)->Column#35, funcs:count(distinct gharchive_dev.github_events.repo_id)->Column#36, funcs:sum(Column#49)->Column#37, funcs:sum(Column#50)->Column#38, funcs:count(distinct Column#51)->Column#39, funcs:count(distinct Column#52)->Column#40, funcs:count(distinct Column#53)->Column#41                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           	1      	tiflash_task:{time:15.8s, loops:1, threads:1}                                                          	N/A    	N/A
	      └─ExchangeReceiver_44       	cop[tiflash]	1           	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            	185819 	tiflash_task:{time:15.8s, loops:22, threads:8}                                                         	N/A    	N/A
	        └─ExchangeSender_43       	cop[tiflash]	1           	ExchangeType: PassThrough, Compression: FAST                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                	185819 	tiflash_task:{time:15.8s, loops:256, threads:9}                                                        	N/A    	N/A
	          └─HashAgg_40            	cop[tiflash]	1           	group by:Column#56, Column#57, Column#58, Column#59, Column#60, funcs:sum(Column#54)->Column#49, funcs:sum(Column#55)->Column#50                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            	185819 	tiflash_task:{time:15.8s, loops:256, threads:9}                                                        	N/A    	N/A
	            └─Projection_47       	cop[tiflash]	228054454.94	cast(if(and(eq(gharchive_dev.github_events.action, "closed"), eq(gharchive_dev.github_events.pr_merged, 1)), gharchive_dev.github_events.additions, 0), decimal(20,0) BINARY)->Column#54, cast(if(and(eq(gharchive_dev.github_events.action, "closed"), eq(gharchive_dev.github_events.pr_merged, 1)), gharchive_dev.github_events.deletions, 0), decimal(20,0) BINARY)->Column#55, gharchive_dev.github_events.actor_id, gharchive_dev.github_events.repo_id, if(eq(gharchive_dev.github_events.action, "opened"), gharchive_dev.github_events.pr_or_issue_id, NULL)->Column#58, if(and(eq(gharchive_dev.github_events.action, "closed"), eq(gharchive_dev.github_events.pr_merged, 0)), gharchive_dev.github_events.pr_or_issue_id, NULL)->Column#59, if(and(eq(gharchive_dev.github_events.action, "closed"), eq(gharchive_dev.github_events.pr_merged, 1)), gharchive_dev.github_events.pr_or_issue_id, NULL)->Column#60	188173 	tiflash_task:{time:15.8s, loops:40, threads:16}                                                        	N/A    	N/A
	              └─Selection_22      	cop[tiflash]	228054454.94	gt(gharchive_dev.github_events.created_at, 2024-11-09 10:04:30)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             	188173 	tiflash_task:{time:15.8s, loops:40, threads:16}                                                        	N/A    	N/A
	                └─TableFullScan_21	cop[tiflash]	684163364.82	table:ge, pushed down filter:eq(gharchive_dev.github_events.type, "PullRequestEvent"), keep order:false, PartitionTableScan:true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            	190474 	tiflash_task:{time:15.8s, loops:40, threads:16}                                                        	N/A    	N/A

