| id                                 | estRows      | estCost         | actRows | task         | access object                | execution info                                                                                          | operator info                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | memory  | disk  |
| TableReader_46                     | 1.00         | 48754088733.03  | 1       | root         | partition:pull_request_event | time:39.7s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00} | MppVersion: 1, data:ExchangeSender_45                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 1.83 KB | N/A   |
| └─ExchangeSender_45                | 1.00         | 731311330731.52 | 1       | mpp[tiflash] |                              | tiflash_task:{time:39.7s, loops:1, threads:1}                                                           | ExchangeType: PassThrough                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | N/A     | N/A   |
|   └─Projection_41                  | 1.00         | 731311330731.49 | 1       | mpp[tiflash] |                              | tiflash_task:{time:39.7s, loops:1, threads:1}                                                           | Column#35, Column#36, Column#37, Column#38, Column#39, Column#40, Column#41                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | N/A     | N/A   |
|     └─HashAgg_42                   | 1.00         | 731311330731.46 | 1       | mpp[tiflash] |                              | tiflash_task:{time:39.7s, loops:1, threads:1}                                                           | funcs:count(distinct gharchive_dev.github_events.actor_id)->Column#35, funcs:count(distinct gharchive_dev.github_events.repo_id)->Column#36, funcs:sum(Column#49)->Column#37, funcs:sum(Column#50)->Column#38, funcs:count(distinct Column#51)->Column#39, funcs:count(distinct Column#52)->Column#40, funcs:count(distinct Column#53)->Column#41                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | N/A     | N/A   |
|       └─ExchangeReceiver_44        | 1.00         | 731311330653.94 | 189803  | mpp[tiflash] |                              | tiflash_task:{time:39.6s, loops:21, threads:8}                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | N/A     | N/A   |
|         └─ExchangeSender_43        | 1.00         | 731311330533.94 | 189803  | mpp[tiflash] |                              | tiflash_task:{time:39.6s, loops:256, threads:9}                                                         | ExchangeType: PassThrough, Compression: FAST                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | N/A     | N/A   |
|           └─HashAgg_40             | 1.00         | 731311330533.94 | 189803  | mpp[tiflash] |                              | tiflash_task:{time:39.6s, loops:256, threads:9}                                                         | group by:Column#56, Column#57, Column#58, Column#59, Column#60, funcs:sum(Column#54)->Column#49, funcs:sum(Column#55)->Column#50                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | N/A     | N/A   |
|             └─Projection_47        | 228028729.03 | 741529297805.73 | 191940  | mpp[tiflash] |                              | tiflash_task:{time:39.6s, loops:26, threads:16}                                                         | cast(if(and(eq(gharchive_dev.github_events.action, "closed"), eq(gharchive_dev.github_events.pr_merged, 1)), gharchive_dev.github_events.additions, 0), decimal(20,0) BINARY)->Column#54, cast(if(and(eq(gharchive_dev.github_events.action, "closed"), eq(gharchive_dev.github_events.pr_merged, 1)), gharchive_dev.github_events.deletions, 0), decimal(20,0) BINARY)->Column#55, gharchive_dev.github_events.actor_id, gharchive_dev.github_events.repo_id, if(eq(gharchive_dev.github_events.action, "opened"), gharchive_dev.github_events.pr_or_issue_id, NULL)->Column#58, if(and(eq(gharchive_dev.github_events.action, "closed"), eq(gharchive_dev.github_events.pr_merged, 0)), gharchive_dev.github_events.pr_or_issue_id, NULL)->Column#59, if(and(eq(gharchive_dev.github_events.action, "closed"), eq(gharchive_dev.github_events.pr_merged, 1)), gharchive_dev.github_events.pr_or_issue_id, NULL)->Column#60 | N/A     | N/A   |
|               └─Selection_22       | 228028729.03 | 730105149692.77 | 191940  | mpp[tiflash] |                              | tiflash_task:{time:39.5s, loops:26, threads:16}                                                         | gt(gharchive_dev.github_events.created_at, 2024-11-09 03:54:30)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | N/A     | N/A   |
|                 └─TableFullScan_21 | 684086187.09 | 689800007857.57 | 199190  | mpp[tiflash] | table:ge                     | tiflash_task:{time:39.4s, loops:26, threads:16}                                                         | pushed down filter:eq(gharchive_dev.github_events.type, "PullRequestEvent"), keep order:false, PartitionTableScan:true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | N/A     | N/A   |

